country,new_cases,new_deaths,total_cases,total_deaths,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,population,population_density,gdp_per_capita,hospital_beds_per_thousand
Singapore,242.0,0.0,4450,0.0,774700.0,762600.0,12100.0,236505.0,13.25,13.04,0.2,5850343.0,7915.731,85535.383,2.4
Slovakia,71.0,0.0,261,0.0,6915768.0,5913686.0,1002082.0,329870.0,126.67999999999999,108.31000000000002,18.35,5459643.0,113.128,30155.152,5.82
Slovenia,252.0,0.0,966,0.0,3338093.0,2386415.0,951678.0,121090.0,160.54000000000005,114.75000000000004,45.8,2078932.0,102.619,31400.84,4.5
South Africa,61.0,0.0,219,0.0,8784.0,8784.0,8784.0,4435.0,0.01,0.01,0.01,59308690.0,46.754,12294.876,2.32
Spain,9190.0,308.0,37011,1073.0,49287647.0,35707921.0,13579726.0,2717091.0,105.38000000000001,76.36,29.03,46754783.0,93.105,34272.36,2.97
Sri Lanka,28.0,0.0,114,0.0,3362162.0,0.0,0.0,250400.0,15.700000000000001,0.0,0.0,21413250.0,341.955,11669.077,3.6
Sweden,1058.0,0.0,6115,6.0,3761844.0,2869045.0,892799.0,520025.0,37.25,28.419999999999998,8.83,10099270.0,24.718,46949.283,2.22
Switzerland,2199.0,13.0,10284,65.0,9438953.0,1791236.0,443699.0,353105.0,109.03,20.69,5.13,8654618.0,214.243,57410.166,4.53
Turkey,46.0,0.0,64,0.0,86970177.0,32140355.0,5092403.0,5567218.0,103.13,38.11,6.04,84339067.0,104.914,25129.341,2.81
United Arab Emirates,94.0,0.0,1209,0.0,130669415.0,836568.0,250000.0,4497815.0,1321.1699999999998,8.46,2.53,9890400.0,112.442,67293.483,1.2
United Kingdom,1545.0,54.0,7872,149.0,381706042.0,362088374.0,19617668.0,16396466.0,562.2700000000001,533.3499999999999,28.889999999999997,67886004.0,272.898,39753.244,2.54
United States,3502.0,56.0,13859,350.0,1198286137.0,934004135.0,243398388.0,55047439.0,358.28999999999996,279.3,72.76000000000002,331002647.0,35.608,54225.446,2.77
