country,new_cases,new_deaths,total_cases,total_deaths,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Portugal,329.0,0.0,1037,0.0,9760482.0,5735325.0,2360048.0,556818.0,95.69999999999999,56.23,23.150000000000006
Qatar,438.0,0.0,2078,0.0,50000.0,0.0,0.0,49987.0,1.74,0.0,0.0
Romania,157.0,0.0,702,0.0,27145345.0,20595099.0,6550247.0,1201232.0,141.08,107.03,34.05
Russia,91.0,0.0,388,0.0,5780500.0,4080500.0,1700000.0,3570847.0,3.9699999999999998,2.81,1.16
Saudi Arabia,132.0,0.0,524,0.0,3843070.0,0.0,0.0,437628.0,11.04,0.0,0.0
Serbia,69.0,0.0,238,0.0,9760497.0,8710195.0,1050302.0,1324176.0,143.45,128.02999999999997,15.43
Seychelles,2.0,0.0,6,0.0,769408.0,664625.0,104783.0,58473.0,782.39,675.8299999999999,106.55000000000001
Singapore,242.0,0.0,4450,0.0,774700.0,762600.0,12100.0,236505.0,13.25,13.04,0.2
Slovakia,71.0,0.0,261,0.0,6915768.0,5913686.0,1002082.0,329870.0,126.67999999999999,108.31000000000002,18.35
Slovenia,252.0,0.0,966,0.0,3338093.0,2386415.0,951678.0,121090.0,160.54000000000005,114.75000000000004,45.8
South Africa,61.0,0.0,219,0.0,8784.0,8784.0,8784.0,4435.0,0.01,0.01,0.01
Spain,9190.0,308.0,37011,1073.0,49287647.0,35707921.0,13579726.0,2717091.0,105.38000000000001,76.36,29.03
Sri Lanka,28.0,0.0,114,0.0,3362162.0,0.0,0.0,250400.0,15.700000000000001,0.0,0.0
Sweden,1058.0,0.0,6115,6.0,3761844.0,2869045.0,892799.0,520025.0,37.25,28.419999999999998,8.83
Switzerland,2199.0,13.0,10284,65.0,9438953.0,1791236.0,443699.0,353105.0,109.03,20.69,5.13
Turkey,46.0,0.0,64,0.0,86970177.0,32140355.0,5092403.0,5567218.0,103.13,38.11,6.04
United Arab Emirates,94.0,0.0,1209,0.0,130669415.0,836568.0,250000.0,4497815.0,1321.1699999999998,8.46,2.53
United Kingdom,1545.0,54.0,7872,149.0,381706042.0,362088374.0,19617668.0,16396466.0,562.2700000000001,533.3499999999999,28.889999999999997
United States,3502.0,56.0,13859,350.0,1198286137.0,934004135.0,243398388.0,55047439.0,358.28999999999996,279.3,72.76000000000002
