,country,new_cases,new_deaths,total_cases,total_deaths,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
152,United Kingdom,1545,54,7872,149,381706042,362088374,19617668,16396466,562.27,533.35,28.89
153,United States,3502,56,13859,350,1198286137,934004135,243398388,55047439,358.29,279.3,72.76
154,United States Virgin Islands,0,0,2,0,0,0,0,0,0,0,0
155,Uruguay,2,0,10,0,0,0,0,0,0,0,0
156,Uzbekistan,0,0,8,0,0,0,0,0,0,0,0
157,Vatican,0,0,11,0,0,0,0,0,0,0,0
158,Venezuela,31,0,39,0,0,0,0,0,0,0,0
159,Vietnam,59,0,951,0,0,0,0,0,0,0,0
160,World,178564,7361,3609527,118848,0,0,0,0,0,0,0
161,Anguilla,0,0,0,0,1341,1341,0,1341,8.94,8.94,0
162,Barbados,0,0,0,0,20288,20288,0,4505,7.06,7.06,0
163,Bermuda,0,0,0,0,41744,25398,3191,12413,67.03,40.78,5.12
164,Czechia,0,0,0,0,11817985,9068338,2749647,497216,110.39,84.71,25.7
165,England,0,0,0,0,327450159,309281823,18168336,13846357,581.76,549.48,32.29
166,Greenland,0,0,0,0,2584,2584,0,0,4.55,4.55,0
167,Isle of Man,0,0,0,0,245935,185089,53640,11581,289.22,217.67,63.09
168,Macao,0,0,0,0,2595,0,0,2699,0.4,0,0
169,Mauritius,0,0,0,0,207,207,0,210,0.02,0.02,0
170,Myanmar,0,0,0,0,106942,0,0,82823,0.2,0,0
171,Northern Cyprus,0,0,0,0,15968,0,0,8846,4.18,0,0
172,Northern Ireland,0,0,0,0,10431515,9460149,971366,440787,550.89,499.61,51.32
173,Saint Helena,0,0,0,0,107,0,0,0,1.76,0,0
174,Scotland,0,0,0,0,26730749,26368906,361843,1303651,489.27,482.65,6.6
175,Turks and Caicos Islands,0,0,0,0,6433,6433,0,6438,16.62,16.62,0
176,Wales,0,0,0,0,16840611,16724746,115865,805670,534.1,530.46,3.65
