,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines
1720,Israel,ISR,2021-01-22,3520830.0,2553447.0,967383.0,166980.0,40.68,29.5,11.18,19292.0,"Moderna, Pfizer/BioNTech"
1721,Israel,ISR,2021-01-23,3613997.0,2593254.0,1020743.0,172309.0,41.75,29.96,11.79,19907.0,"Moderna, Pfizer/BioNTech"
1722,Israel,ISR,2021-01-24,3822841.0,2662162.0,1160679.0,180305.0,44.17,30.76,13.41,20831.0,"Moderna, Pfizer/BioNTech"
1723,Israel,ISR,2021-01-25,4042332.0,2742845.0,1299487.0,184606.0,46.7,31.69,15.01,21328.0,"Moderna, Pfizer/BioNTech"
1724,Israel,ISR,2021-01-26,4246427.0,2821255.0,1425172.0,183782.0,49.06,32.59,16.47,21233.0,"Moderna, Pfizer/BioNTech"
1725,Israel,ISR,2021-01-27,4448333.0,2898803.0,1549530.0,181267.0,51.39,33.49,17.9,20942.0,"Moderna, Pfizer/BioNTech"
1726,Israel,ISR,2021-01-28,4657560.0,2978096.0,1679464.0,177871.0,53.81,34.41,19.4,20550.0,"Moderna, Pfizer/BioNTech"
1727,Israel,ISR,2021-01-29,4758490.0,3014558.0,1743932.0,176809.0,54.98,34.83,20.15,20427.0,"Moderna, Pfizer/BioNTech"
1728,Israel,ISR,2021-01-30,4835286.0,3048759.0,1786527.0,174470.0,55.86,35.22,20.64,20157.0,"Moderna, Pfizer/BioNTech"
1729,Israel,ISR,2021-01-31,4967465.0,3121739.0,1845726.0,163518.0,57.39,36.07,21.32,18892.0,"Moderna, Pfizer/BioNTech"
1730,Israel,ISR,2021-02-01,5084622.0,3203756.0,1880866.0,148899.0,58.74,37.01,21.73,17203.0,"Moderna, Pfizer/BioNTech"
1731,Israel,ISR,2021-02-02,5185092.0,3273376.0,1911716.0,134095.0,59.9,37.82,22.09,15492.0,"Moderna, Pfizer/BioNTech"
1732,Israel,ISR,2021-02-03,5295810.0,3333279.0,1962531.0,121068.0,61.18,38.51,22.67,13987.0,"Moderna, Pfizer/BioNTech"
1733,Israel,ISR,2021-02-04,5425208.0,3405262.0,2019946.0,109664.0,62.68,39.34,23.34,12670.0,"Moderna, Pfizer/BioNTech"
1734,Israel,ISR,2021-02-05,5487481.0,3438937.0,2048544.0,104142.0,63.4,39.73,23.67,12032.0,"Moderna, Pfizer/BioNTech"
1735,Israel,ISR,2021-02-06,5531040.0,3460410.0,2070630.0,99393.0,63.9,39.98,23.92,11483.0,"Moderna, Pfizer/BioNTech"
1736,Israel,ISR,2021-02-07,5652993.0,3514299.0,2138694.0,97933.0,65.31,40.6,24.71,11314.0,"Moderna, Pfizer/BioNTech"
1737,Israel,ISR,2021-02-08,5776349.0,3572927.0,2203422.0,98818.0,66.74,41.28,25.46,11417.0,"Moderna, Pfizer/BioNTech"
1738,Israel,ISR,2021-02-09,5909233.0,3639289.0,2269944.0,103449.0,68.27,42.05,26.23,11952.0,"Moderna, Pfizer/BioNTech"
1739,Israel,ISR,2021-02-10,6051007.0,3709683.0,2341324.0,107885.0,69.91,42.86,27.05,12464.0,"Moderna, Pfizer/BioNTech"
1740,Israel,ISR,2021-02-11,6202222.0,3790764.0,2411458.0,111002.0,71.66,43.8,27.86,12824.0,"Moderna, Pfizer/BioNTech"
1741,Israel,ISR,2021-02-12,6278357.0,3829660.0,2448697.0,112982.0,72.54,44.25,28.29,13053.0,"Moderna, Pfizer/BioNTech"
1742,Israel,ISR,2021-02-13,6335968.0,3857013.0,2478955.0,114990.0,73.2,44.56,28.64,13285.0,"Moderna, Pfizer/BioNTech"
1743,Israel,ISR,2021-02-14,6478735.0,3931136.0,2547599.0,117963.0,74.85,45.42,29.43,13629.0,"Moderna, Pfizer/BioNTech"
1744,Israel,ISR,2021-02-15,6635025.0,4012470.0,2622555.0,122668.0,76.66,46.36,30.3,14172.0,"Moderna, Pfizer/BioNTech"
1745,Israel,ISR,2021-02-16,6795068.0,4095565.0,2699503.0,126548.0,78.51,47.32,31.19,14620.0,"Moderna, Pfizer/BioNTech"
1746,Israel,ISR,2021-02-17,6930637.0,4157078.0,2773559.0,125661.0,80.07,48.03,32.04,14518.0,"Moderna, Pfizer/BioNTech"
1747,Israel,ISR,2021-02-18,7078196.0,4225727.0,2852469.0,125139.0,81.78,48.82,32.96,14458.0,"Moderna, Pfizer/BioNTech"
1748,Israel,ISR,2021-02-19,7132468.0,4250643.0,2881825.0,122016.0,82.4,49.11,33.29,14097.0,"Moderna, Pfizer/BioNTech"
1770,Italy,ITA,2021-01-17,1206172.0,1203374.0,2798.0,76564.0,1.99,1.99,0.0,1266.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1771,Italy,ITA,2021-01-18,1248071.0,1240870.0,7201.0,71039.0,2.06,2.05,0.01,1175.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1772,Italy,ITA,2021-01-19,1279997.0,1271102.0,8895.0,63995.0,2.12,2.1,0.01,1058.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1773,Italy,ITA,2021-01-20,1309539.0,1296173.0,13366.0,54917.0,2.17,2.14,0.02,908.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1774,Italy,ITA,2021-01-21,1344131.0,1311328.0,32803.0,46685.0,2.22,2.17,0.05,772.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1775,Italy,ITA,2021-01-22,1369871.0,1323179.0,46692.0,37769.0,2.27,2.19,0.08,625.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1776,Italy,ITA,2021-01-23,1408192.0,1328828.0,79364.0,34045.0,2.33,2.2,0.13,563.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1777,Italy,ITA,2021-01-24,1441797.0,1331841.0,109956.0,33661.0,2.38,2.2,0.18,557.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1778,Italy,ITA,2021-01-25,1510216.0,1336324.0,173892.0,37449.0,2.5,2.21,0.29,619.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1779,Italy,ITA,2021-01-26,1589775.0,1340459.0,249316.0,44254.0,2.63,2.22,0.41,732.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1780,Italy,ITA,2021-01-27,1659970.0,1346354.0,313616.0,50062.0,2.75,2.23,0.52,828.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1781,Italy,ITA,2021-01-28,1752606.0,1350805.0,401801.0,58354.0,2.9,2.23,0.66,965.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1782,Italy,ITA,2021-01-29,1849165.0,1355283.0,493882.0,68471.0,3.06,2.24,0.82,1132.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1783,Italy,ITA,2021-01-30,1938430.0,1359152.0,579278.0,75748.0,3.21,2.25,0.96,1253.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1784,Italy,ITA,2021-01-31,1997385.0,1361600.0,635785.0,79370.0,3.3,2.25,1.05,1313.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1785,Italy,ITA,2021-02-01,2081994.0,1366044.0,715950.0,81683.0,3.44,2.26,1.18,1351.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1786,Italy,ITA,2021-02-02,2168578.0,1372260.0,796318.0,82686.0,3.59,2.27,1.32,1368.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1787,Italy,ITA,2021-02-03,2266478.0,1381354.0,885124.0,86644.0,3.75,2.28,1.46,1433.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1788,Italy,ITA,2021-02-04,2371684.0,1394514.0,977170.0,88440.0,3.92,2.31,1.62,1463.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1789,Italy,ITA,2021-02-05,2475988.0,1411905.0,1064083.0,89546.0,4.1,2.34,1.76,1481.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1790,Italy,ITA,2021-02-06,2551292.0,1426226.0,1125066.0,87552.0,4.22,2.36,1.86,1448.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1791,Italy,ITA,2021-02-07,2591337.0,1435160.0,1156177.0,84850.0,4.29,2.37,1.91,1403.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1792,Italy,ITA,2021-02-08,2656474.0,1461452.0,1195022.0,82069.0,4.39,2.42,1.98,1357.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1793,Italy,ITA,2021-02-09,2721529.0,1495620.0,1225909.0,78993.0,4.5,2.47,2.03,1306.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1794,Italy,ITA,2021-02-10,2792205.0,1540008.0,1252197.0,75104.0,4.62,2.55,2.07,1242.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1795,Italy,ITA,2021-02-11,2863833.0,1593896.0,1269937.0,70307.0,4.74,2.64,2.1,1163.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1796,Italy,ITA,2021-02-12,2935016.0,1651297.0,1283719.0,65575.0,4.85,2.73,2.12,1085.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1797,Italy,ITA,2021-02-13,2986503.0,1696562.0,1289941.0,62173.0,4.94,2.81,2.13,1028.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1798,Italy,ITA,2021-02-14,3015491.0,1723278.0,1292213.0,60593.0,4.99,2.85,2.14,1002.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1799,Italy,ITA,2021-02-15,3075802.0,1778196.0,1297606.0,59904.0,5.09,2.94,2.15,991.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1800,Italy,ITA,2021-02-16,3143784.0,1840832.0,1302952.0,60322.0,5.2,3.04,2.15,998.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1801,Italy,ITA,2021-02-17,3220030.0,1908439.0,1311591.0,61118.0,5.33,3.16,2.17,1011.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1802,Italy,ITA,2021-02-18,3304455.0,1985974.0,1318481.0,62946.0,5.47,3.28,2.18,1041.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1803,Italy,ITA,2021-02-19,3387947.0,2063893.0,1324054.0,64704.0,5.6,3.41,2.19,1070.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1814,Jersey,JEY,2021-01-31,14838.0,11707.0,3131.0,493.0,14.68,11.58,3.1,4878.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
1821,Jersey,JEY,2021-02-07,21007.0,17829.0,3178.0,881.0,20.78,17.64,3.14,8716.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
1828,Jersey,JEY,2021-02-14,25952.0,22696.0,3256.0,706.0,25.68,22.46,3.22,6985.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
1897,Latvia,LVA,2021-01-19,17670.0,16295.0,1375.0,125.0,0.94,0.86,0.07,66.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1898,Latvia,LVA,2021-01-20,18440.0,16314.0,2126.0,235.0,0.98,0.86,0.11,125.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1899,Latvia,LVA,2021-01-21,18719.0,16580.0,2139.0,275.0,0.99,0.88,0.11,146.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1900,Latvia,LVA,2021-01-22,18934.0,16778.0,2156.0,306.0,1.0,0.89,0.11,162.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1903,Latvia,LVA,2021-01-25,19727.0,16923.0,2804.0,419.0,1.05,0.9,0.15,222.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1904,Latvia,LVA,2021-01-26,20575.0,16953.0,3622.0,415.0,1.09,0.9,0.19,220.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1905,Latvia,LVA,2021-01-27,21393.0,17034.0,4359.0,422.0,1.13,0.9,0.23,224.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1906,Latvia,LVA,2021-01-28,22172.0,17063.0,5109.0,493.0,1.18,0.9,0.27,261.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1907,Latvia,LVA,2021-01-29,23134.0,17115.0,6019.0,600.0,1.23,0.91,0.32,318.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1908,Latvia,LVA,2021-01-30,23442.0,17119.0,6323.0,606.0,1.24,0.91,0.34,321.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1910,Latvia,LVA,2021-02-01,24963.0,17132.0,7831.0,748.0,1.32,0.91,0.42,397.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1911,Latvia,LVA,2021-02-02,26771.0,17267.0,9504.0,885.0,1.42,0.92,0.5,469.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1912,Latvia,LVA,2021-02-03,28390.0,17507.0,10883.0,1000.0,1.51,0.93,0.58,530.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1913,Latvia,LVA,2021-02-04,29893.0,17647.0,12246.0,1103.0,1.58,0.94,0.65,585.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1914,Latvia,LVA,2021-02-05,31560.0,17808.0,13752.0,1204.0,1.67,0.94,0.73,638.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1915,Latvia,LVA,2021-02-06,32126.0,17817.0,14309.0,1241.0,1.7,0.94,0.76,658.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1916,Latvia,LVA,2021-02-07,32251.0,17819.0,14432.0,1150.0,1.71,0.94,0.77,610.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1917,Latvia,LVA,2021-02-08,32662.0,18074.0,14588.0,1100.0,1.73,0.96,0.77,583.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1918,Latvia,LVA,2021-02-09,32846.0,18215.0,14631.0,868.0,1.74,0.97,0.78,460.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1919,Latvia,LVA,2021-02-10,33465.0,18637.0,14828.0,725.0,1.77,0.99,0.79,384.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1920,Latvia,LVA,2021-02-11,35220.0,19736.0,15484.0,761.0,1.87,1.05,0.82,403.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1921,Latvia,LVA,2021-02-12,36918.0,20909.0,16009.0,765.0,1.96,1.11,0.85,406.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1922,Latvia,LVA,2021-02-13,37317.0,21132.0,16185.0,742.0,1.98,1.12,0.86,393.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1923,Latvia,LVA,2021-02-14,37338.0,21133.0,16205.0,727.0,1.98,1.12,0.86,385.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1924,Latvia,LVA,2021-02-15,38207.0,21848.0,16359.0,792.0,2.03,1.16,0.87,420.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1925,Latvia,LVA,2021-02-16,39546.0,23119.0,16427.0,957.0,2.1,1.23,0.87,507.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1926,Latvia,LVA,2021-02-17,41275.0,24669.0,16606.0,1116.0,2.19,1.31,0.88,592.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1927,Latvia,LVA,2021-02-18,42413.0,25754.0,16659.0,1028.0,2.25,1.37,0.88,545.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1928,Latvia,LVA,2021-02-19,43388.0,26673.0,16715.0,924.0,2.3,1.41,0.89,490.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1965,Lithuania,LTU,2021-01-17,52052.0,50963.0,1089.0,4079.0,1.91,1.87,0.04,1498.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1966,Lithuania,LTU,2021-01-18,56551.0,53789.0,2762.0,4407.0,2.08,1.98,0.1,1619.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1967,Lithuania,LTU,2021-01-19,62836.0,56165.0,6671.0,5007.0,2.31,2.06,0.25,1839.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1968,Lithuania,LTU,2021-01-20,66305.0,57802.0,8503.0,4624.0,2.44,2.12,0.31,1699.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1969,Lithuania,LTU,2021-01-21,67854.0,58714.0,9140.0,3613.0,2.49,2.16,0.34,1327.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1970,Lithuania,LTU,2021-01-22,68247.0,59037.0,9210.0,2632.0,2.51,2.17,0.34,967.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1971,Lithuania,LTU,2021-01-23,68255.0,59045.0,9210.0,2476.0,2.51,2.17,0.34,910.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1973,Lithuania,LTU,2021-01-25,68357.0,59147.0,9210.0,1687.0,2.51,2.17,0.34,620.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1974,Lithuania,LTU,2021-01-26,71458.0,61618.0,9840.0,1232.0,2.62,2.26,0.36,453.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1975,Lithuania,LTU,2021-01-27,78350.0,65456.0,12894.0,1721.0,2.88,2.4,0.47,632.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1976,Lithuania,LTU,2021-01-28,85418.0,68838.0,16580.0,2509.0,3.14,2.53,0.61,922.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1977,Lithuania,LTU,2021-01-29,93454.0,71812.0,21642.0,3601.0,3.43,2.64,0.79,1323.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1978,Lithuania,LTU,2021-01-30,94082.0,72007.0,22075.0,3690.0,3.46,2.65,0.81,1355.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1979,Lithuania,LTU,2021-01-31,94090.0,72015.0,22075.0,3683.0,3.46,2.65,0.81,1353.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1980,Lithuania,LTU,2021-02-01,96972.0,73066.0,23906.0,4088.0,3.56,2.68,0.88,1502.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1981,Lithuania,LTU,2021-02-02,100820.0,74709.0,26111.0,4195.0,3.7,2.74,0.96,1541.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1982,Lithuania,LTU,2021-02-03,107488.0,76337.0,31151.0,4163.0,3.95,2.8,1.14,1529.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1983,Lithuania,LTU,2021-02-04,117257.0,77865.0,39392.0,4548.0,4.31,2.86,1.45,1671.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1984,Lithuania,LTU,2021-02-05,124472.0,78823.0,45649.0,4431.0,4.57,2.9,1.68,1628.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1985,Lithuania,LTU,2021-02-06,125197.0,78892.0,46305.0,4445.0,4.6,2.9,1.7,1633.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1986,Lithuania,LTU,2021-02-07,125294.0,78895.0,46399.0,4458.0,4.6,2.9,1.7,1638.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1987,Lithuania,LTU,2021-02-08,127945.0,79126.0,48819.0,4425.0,4.7,2.91,1.79,1625.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1988,Lithuania,LTU,2021-02-09,130787.0,80204.0,50583.0,4281.0,4.8,2.95,1.86,1573.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1989,Lithuania,LTU,2021-02-10,136876.0,84671.0,52205.0,4198.0,5.03,3.11,1.92,1542.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1990,Lithuania,LTU,2021-02-11,145857.0,92349.0,53508.0,4086.0,5.36,3.39,1.97,1501.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1991,Lithuania,LTU,2021-02-12,153105.0,98620.0,54485.0,4090.0,5.62,3.62,2.0,1502.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1992,Lithuania,LTU,2021-02-13,153547.0,99062.0,54485.0,4050.0,5.64,3.64,2.0,1488.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1994,Lithuania,LTU,2021-02-15,158166.0,102989.0,55177.0,4317.0,5.81,3.78,2.03,1586.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1995,Lithuania,LTU,2021-02-16,158697.0,103310.0,55387.0,3987.0,5.83,3.79,2.03,1465.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1996,Lithuania,LTU,2021-02-17,166698.0,107610.0,59088.0,4260.0,6.12,3.95,2.17,1565.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1997,Lithuania,LTU,2021-02-18,177352.0,113856.0,63496.0,4499.0,6.51,4.18,2.33,1653.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1998,Lithuania,LTU,2021-02-19,186735.0,120010.0,66725.0,4804.0,6.86,4.41,2.45,1765.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2025,Luxembourg,LUX,2021-01-25,8554.0,7309.0,1245.0,569.0,1.37,1.17,0.2,909.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2026,Luxembourg,LUX,2021-01-26,9525.0,8280.0,1245.0,604.0,1.52,1.32,0.2,965.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2027,Luxembourg,LUX,2021-01-27,10449.0,9107.0,1342.0,608.0,1.67,1.45,0.21,971.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2028,Luxembourg,LUX,2021-01-28,11373.0,9890.0,1483.0,639.0,1.82,1.58,0.24,1021.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2031,Luxembourg,LUX,2021-01-31,12428.0,10748.0,1680.0,613.0,1.99,1.72,0.27,979.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2032,Luxembourg,LUX,2021-02-01,13241.0,11336.0,1905.0,670.0,2.12,1.81,0.3,1070.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2033,Luxembourg,LUX,2021-02-02,14252.0,11925.0,2327.0,675.0,2.28,1.91,0.37,1078.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2034,Luxembourg,LUX,2021-02-03,15407.0,12597.0,2810.0,708.0,2.46,2.01,0.45,1131.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2035,Luxembourg,LUX,2021-02-04,16419.0,13256.0,3163.0,721.0,2.62,2.12,0.51,1152.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2038,Luxembourg,LUX,2021-02-07,17628.0,13940.0,3688.0,743.0,2.82,2.23,0.59,1187.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2039,Luxembourg,LUX,2021-02-08,18139.0,14089.0,4050.0,700.0,2.9,2.25,0.65,1118.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2040,Luxembourg,LUX,2021-02-09,18653.0,14227.0,4426.0,629.0,2.98,2.27,0.71,1005.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2041,Luxembourg,LUX,2021-02-10,19923.0,15052.0,4871.0,645.0,3.18,2.4,0.78,1030.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2042,Luxembourg,LUX,2021-02-11,21390.0,16131.0,5259.0,710.0,3.42,2.58,0.84,1134.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2045,Luxembourg,LUX,2021-02-14,22895.0,17257.0,5638.0,752.0,3.66,2.76,0.9,1201.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2046,Luxembourg,LUX,2021-02-15,24024.0,18055.0,5969.0,841.0,3.84,2.88,0.95,1344.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2047,Luxembourg,LUX,2021-02-16,25918.0,19622.0,6296.0,1038.0,4.14,3.13,1.01,1658.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2048,Luxembourg,LUX,2021-02-17,27119.0,20605.0,6514.0,1028.0,4.33,3.29,1.04,1642.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2049,Luxembourg,LUX,2021-02-18,28933.0,21853.0,7080.0,1078.0,4.62,3.49,1.13,1722.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2083,Malta,MLT,2021-01-24,19981.0,18783.0,1198.0,1182.0,4.53,4.25,0.27,2677.0,Pfizer/BioNTech
2084,Malta,MLT,2021-01-25,21172.0,19709.0,1463.0,1167.0,4.8,4.46,0.33,2643.0,Pfizer/BioNTech
2085,Malta,MLT,2021-01-26,22371.0,20677.0,1694.0,1156.0,5.07,4.68,0.38,2618.0,Pfizer/BioNTech
2086,Malta,MLT,2021-01-27,23512.0,21417.0,2095.0,1171.0,5.33,4.85,0.47,2652.0,Pfizer/BioNTech
2087,Malta,MLT,2021-01-28,24680.0,22162.0,2518.0,1164.0,5.59,5.02,0.57,2636.0,Pfizer/BioNTech
2088,Malta,MLT,2021-01-29,25822.0,22853.0,2969.0,1151.0,5.85,5.18,0.67,2607.0,Pfizer/BioNTech
2089,Malta,MLT,2021-01-30,26847.0,23391.0,3456.0,1131.0,6.08,5.3,0.78,2561.0,Pfizer/BioNTech
2090,Malta,MLT,2021-01-31,27759.0,23811.0,3948.0,1111.0,6.29,5.39,0.89,2516.0,Pfizer/BioNTech
2091,Malta,MLT,2021-02-01,29002.0,24526.0,4476.0,1119.0,6.57,5.55,1.01,2534.0,Pfizer/BioNTech
2092,Malta,MLT,2021-02-02,30252.0,25361.0,4891.0,1126.0,6.85,5.74,1.11,2550.0,Pfizer/BioNTech
2093,Malta,MLT,2021-02-03,31633.0,26223.0,5410.0,1160.0,7.16,5.94,1.23,2627.0,Pfizer/BioNTech
2094,Malta,MLT,2021-02-04,33477.0,27020.0,6457.0,1257.0,7.58,6.12,1.46,2847.0,Pfizer/BioNTech
2095,Malta,MLT,2021-02-05,35676.0,28082.0,7594.0,1408.0,8.08,6.36,1.72,3189.0,Pfizer/BioNTech
2096,Malta,MLT,2021-02-06,37586.0,28837.0,8749.0,1534.0,8.51,6.53,1.98,3474.0,Pfizer/BioNTech
2097,Malta,MLT,2021-02-07,39257.0,29339.0,9918.0,1643.0,8.89,6.64,2.25,3721.0,Pfizer/BioNTech
2098,Malta,MLT,2021-02-08,41285.0,30235.0,11050.0,1755.0,9.35,6.85,2.5,3975.0,Pfizer/BioNTech
2099,Malta,MLT,2021-02-09,43337.0,31202.0,12135.0,1869.0,9.81,7.07,2.75,4233.0,Pfizer/BioNTech
2100,Malta,MLT,2021-02-10,44598.0,31670.0,12928.0,1852.0,10.1,7.17,2.93,4194.0,Pfizer/BioNTech
2101,Malta,MLT,2021-02-11,46344.0,32524.0,13820.0,1838.0,10.5,7.37,3.13,4163.0,Pfizer/BioNTech
2102,Malta,MLT,2021-02-12,48474.0,33735.0,14739.0,1828.0,10.98,7.64,3.34,4140.0,Pfizer/BioNTech
